"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b89e1d64,welcome,9,27.526
b93cb6bd,query,301,421.986
3828a5b7,,92,
b8ca5cd7,query,17,402.106
38dfa65c,welcome,7,28.090
359b733f,explore,335,133.956
391a5492,query,67,332.270
36e6f771,,54,
b8447d62,query,17,441.089
3909104a,query,56,326.556
398ebab9,query,69,267.348
38f26f07,index,4,62.807
38bad002,query,177,315.057
b90dcc0e,index,5,49.308
38156a17,explore,239,136.121
37b9d3d1,explore,22,154.090
b8e095e6,query,111,462.933
b8c8a3e0,index,15,59.020
b93becd3,explore,233,137.565
b726a7b0,index,11,64.203
b8e2116b,query,51,334.542
38e8133d,query,24,384.448
38c76558,query,142,365.429
38f0d551,welcome,19,32.469
b5a47725,query,291,383.811
b78d617e,query,54,365.189
b84aefa1,welcome,19,22.178
b9001574,welcome,16,30.775
393d4bde,query,17,294.985
b9329f10,explore,55,94.568
b7b8836b,query,28,350.671
b8c1fbac,explore,72,128.337
b8ef90e3,explore,84,76.040
b7096a1b,explore,83,102.032
39946190,welcome,106,29.934
38505b86,explore,144,200.957
b959f35a,query,106,375.932
b8b84ca8,welcome,25,14.515
b6032e7d,welcome,7,21.021
b89e1d64,query,38,407.618
b8a2a70e,explore,32,145.463
388dafc8,explore,237,170.143
388ec167,welcome,7,29.725
395f2209,query,109,349.851
b912f9b2,explore,42,112.108
398a653a,explore,157,115.014
3812d36d,query,490,320.923
b8aeaf23,explore,71,86.554
363a51ea,,10,
b8cf6262,query,77,276.551
38b0092b,index,9,55.198
b959f35a,query,82,352.458
38fa725b,,77,
b8837647,query,29,268.096
37ff412a,explore,28,184.929
3950974b,welcome,34,37.599
38f57621,explore,22,127.216
38a906dd,explore,22,158.302
b887e1af,welcome,18,20.039
b8b92cf9,query,195,438.737
b823c5dd,explore,228,107.293
39413b27,query,103,393.097
38cc2669,explore,189,60.108
36b84dc0,welcome,35,22.462
378f49a4,explore,94,97.429
374c2ca8,welcome,24,25.552
38caddaf,welcome,15,28.468
b8f78219,,72,
3871c9ff,query,53,400.150
b8948bbd,query,187,445.537
391ca174,explore,68,162.550
b80cd3d8,explore,339,142.619
b7ab0e84,welcome,7,37.018
393dfc60,explore,22,48.556
b87c1d9b,welcome,7,34.072
39083bce,index,23,19.712
b91ca70c,query,400,350.114
3812d36d,welcome,59,37.081
37e48182,query,58,332.560
3711ba7f,query,156,320.824
38bad002,index,21,50.151
38caddaf,explore,52,142.946
38748001,welcome,40,23.945
382e7d35,query,118,341.676
b8c9bf27,explore,55,138.031
3807084e,,72,
b7b8836b,welcome,11,46.463
38a6eb8d,,27,
37d1fe69,query,17,320.519
b8041265,index,4,48.857
38caddaf,explore,129,16.085
39044f87,query,17,378.151
3846924d,welcome,17,37.047
386384b2,explore,22,95.309
37b33c75,query,37,345.133
b8ca5cd7,query,68,346.192
38ac9e6f,query,60,384.632
3924915d,explore,204,132.883
b94586d6,query,190,308.718
35f8c3c6,query,214,289.328
381b8f82,query,19,322.588
b9159ef1,index,8,44.497
b8c9bf27,query,56,409.213
38edceae,query,41,402.016
b7d5ed7a,explore,283,103.838
38c79ea2,query,236,318.750
37d0b1aa,query,51,373.341
38257ba4,welcome,158,26.865
b8c8a3e0,query,17,386.580
b892068e,explore,251,138.959
b8688818,explore,62,61.607
b90eaa9e,welcome,7,35.209
b914fb40,explore,100,99.794
35c181e1,index,10,53.643
b8653385,query,138,368.706
3886df93,query,31,447.187
b8e95904,explore,22,71.609
38b947b1,query,46,420.552
3915c65c,query,147,365.209
b8d33c36,welcome,10,22.746
384ca519,explore,29,192.197
b79aa74c,query,58,296.715
34ee03b8,query,42,378.090
3915c65c,query,412,429.540
b90615ce,explore,22,155.095
b9691e6e,query,74,297.872
b943b405,index,4,61.511
b8a4310c,explore,86,179.181
b916f5ba,index,4,60.680
38d230de,explore,22,70.615
b90eaa9e,explore,22,169.919
b959f35a,query,88,329.375
382e7d35,query,17,341.947
37625f95,welcome,78,17.837
3887c4bf,query,69,413.881
3958d084,explore,115,99.284
b89a2926,query,83,391.633
b81d2775,,85,
b8658d44,welcome,22,25.082
b8bc1a7b,,15,
38973351,query,17,333.614
38932b0c,explore,31,149.846
b9810c54,query,26,403.565
3812d36d,explore,95,130.658
38fa725b,index,7,16.101
b871bf8d,query,321,398.499
37116eb3,query,52,335.636
3815097f,index,19,56.241
b8e095e6,explore,172,158.610
38a6eb8d,index,19,80.012
b9649b34,welcome,76,29.723
38edceae,query,47,425.010
b9810c54,query,17,382.586
3958d084,query,110,490.714
b80cd3d8,explore,96,120.136
38916f1a,explore,305,176.441
b8c01be8,query,264,376.956
39413b27,welcome,7,40.079
38e8f839,welcome,61,24.303
38e3ee0f,welcome,19,32.784
b905f723,query,161,323.704
b883ec2a,query,17,423.392
b90bbb27,welcome,24,35.958
b6032e7d,query,295,398.822
b887e1af,query,48,362.428
b8837647,query,128,345.978
38b947b1,query,244,375.746
b9342036,query,38,411.705
b7f001d1,welcome,53,24.611
b8e12e6e,welcome,7,18.460
b7481af2,query,17,438.117
382e7d35,explore,458,209.115
395ee12f,query,43,309.835
3830dba8,query,38,392.972
37f8dca3,explore,22,87.886
b90eaa9e,explore,22,52.161
b916f5ba,explore,45,85.998
b8b7f4ed,query,69,485.554
38bad002,query,17,321.200
3846924d,,10,
b90bbb27,welcome,58,29.677
38a8053a,explore,301,64.238
b8419b59,,49,
b7e15902,welcome,7,41.289
b8658d44,index,4,47.248
b8688818,explore,201,128.705
b7f27ed9,query,141,476.689
b82f3b00,index,4,30.913
b659c57c,explore,38,109.703
b8fa8577,query,100,377.796
38aa93e0,query,42,419.922
38ef1e28,query,92,378.791
b84b1ec3,query,362,364.313
37874df2,query,320,351.309
b9001574,index,4,66.996
38697116,explore,65,202.881
381e19e6,explore,114,121.245
38d55191,index,15,42.591
38902478,query,17,474.725
38257ba4,index,78,51.787
b80eb039,explore,22,146.795
3871c9ff,,38,
b8975ca1,explore,337,92.964
b7d0234d,explore,26,97.564
b89e1d64,welcome,127,23.769
b843e013,explore,336,162.650
38dfa65c,welcome,7,19.019
b93a2185,welcome,29,33.323
38caddaf,welcome,11,17.974
b8f4d4c6,welcome,7,42.138
37625f95,explore,36,57.674
b99795ae,explore,125,72.289
38caddaf,welcome,7,30.447
b7681b4d,welcome,19,25.289
363a51ea,welcome,7,11.912
38b245f2,query,36,363.011
b8d572b8,welcome,31,30.280
b8948bbd,query,17,356.096
3846924d,query,257,339.442
b8bbc92e,explore,22,180.680
b5a1784c,explore,278,163.449
38edceae,index,11,42.416
b8658d44,index,11,55.175
37b3e1af,query,19,384.764
b907939e,explore,22,114.803
b823c5dd,explore,22,195.974
3846924d,explore,154,88.341
b86e62d2,explore,22,87.516
b8cc43ac,,148,
3924915d,explore,22,48.871
b804cee1,welcome,20,31.728
b726a7b0,welcome,125,37.263
b85d4e3f,index,17,49.378
b98bba62,explore,22,42.363
391a72ed,index,54,22.759
38b0092b,welcome,77,37.202
b779a771,index,70,47.241
b8382c2e,welcome,16,23.374
383cd1a5,explore,22,119.589
b841c8dc,query,30,372.082
387598a7,query,167,399.202
3875bcff,welcome,14,22.830
391a72ed,query,22,454.401
b8a5d080,query,17,379.364
35fec392,query,51,342.272
342ebe5e,welcome,18,28.420
37d722c7,welcome,7,28.518
b92ac6bf,explore,22,129.843
b8986c50,query,113,396.707
b914fb40,,113,
b88d3fab,explore,211,108.425
38a7f199,explore,22,96.174
b85d47a6,query,110,351.943
388a2967,explore,252,106.715
38ca5ce9,,39,
b7112974,explore,401,192.457
38f0d551,query,29,337.985
38563a7f,welcome,109,24.685
b94ebcb4,welcome,56,27.965
37625f95,welcome,36,30.443
38cc2669,query,79,382.954
b7b8836b,query,17,321.716
b843e013,,10,
3815097f,explore,22,81.926
b90998fb,index,4,50.606
36df5f4d,index,11,66.372
b9342036,query,17,337.570
b8122da4,welcome,28,25.470
b7e15902,explore,22,31.095
36b84dc0,welcome,27,30.851
3745cf59,welcome,17,19.403
388ec167,explore,44,69.157
384bd788,welcome,15,35.168
3915c65c,,10,
b5a47725,explore,147,85.060
b8cac1a5,welcome,53,37.115
386384b2,,19,
38d5f87c,welcome,79,38.094
b806dd03,,152,
b8b1e3af,index,48,44.581
381e19e6,query,17,377.661
359b733f,query,17,460.949
b818a1d2,explore,22,55.533
38e60b8d,welcome,12,27.216
b96586a1,,23,
b9033768,explore,336,79.184
388a2967,query,26,379.258
381057b5,query,163,364.601
b8a687ac,query,49,352.534
38abd294,,18,
398ebab9,index,4,48.498
b897ffb8,query,94,342.226
b988c693,explore,54,97.002
342ebe5e,welcome,59,35.826
38f48a17,explore,80,122.266
38ca5ce9,explore,387,96.073
b659c57c,query,97,274.558
39491dc0,,10,
3950974b,explore,53,110.180
38a7e8b2,query,39,323.887
384bd788,,166,
393d4bde,query,20,381.263
b8e2116b,welcome,16,27.851
b843e013,query,54,364.693
b726a7b0,query,60,302.024
378f49a4,index,14,52.835
b90eaa9e,query,116,404.219
b5b3a0cd,explore,140,167.057
b7e15902,query,294,401.449
3900f216,query,31,385.613
b90998fb,query,41,399.104
38ca5ce9,query,28,427.275
b90615ce,explore,41,86.485
37116eb3,query,92,376.082
b8a9be6c,query,17,436.920
b8d33c36,query,91,365.762
381e19e6,explore,52,115.850
389f1851,welcome,77,23.259
381e19e6,welcome,17,38.249
b926e20c,query,422,346.740
38e6b63d,query,78,373.977
b8c8a3e0,query,52,385.544
b85d47a6,query,51,405.412
3846924d,index,21,79.191
b7c0defa,explore,42,103.357
b81ef401,query,72,347.524
b8425e7c,query,224,351.216
35af9b86,welcome,7,30.399
38bad002,query,26,404.282
38c1a11e,explore,75,137.959
36955bd2,explore,115,96.852
b601d89f,query,17,404.972
36b84dc0,query,101,384.515
b84b1ec3,index,14,45.977
b8a9be6c,query,17,468.216
b867dc5a,query,17,535.891
390b2f2f,explore,27,108.727
3925ba95,query,64,415.646
38748001,welcome,41,14.581
38b0092b,explore,25,94.394
b91dcf06,welcome,29,28.421
38ac9e6f,welcome,30,33.166
37d722c7,query,92,320.499
b82f3b00,index,12,28.821
38114720,explore,76,149.519
b8c01be8,query,32,441.472
38f26f07,explore,223,142.473
b7ab0e84,welcome,32,9.661
b7f001d1,index,52,33.896
b8a3e272,query,17,454.800
b818a1d2,query,67,337.354
b8a687ac,welcome,31,26.993
3886df93,query,27,415.046
3828a5b7,query,278,374.067
b8c9bf27,welcome,27,35.032
35af9b86,explore,42,38.394
38bad002,explore,22,95.497
b93cb6bd,query,42,400.822
38edceae,query,17,348.575
3815097f,explore,446,94.133
b7d66c06,explore,138,138.138
b7f001d1,query,17,316.565
38e1bb0f,query,61,423.724
b85d4e3f,,23,
b8ca5cd7,query,108,376.341
b8e12e6e,,15,
38fa725b,explore,163,32.173
b85e23f1,query,49,382.337
b5a47725,,92,
38c373ed,index,11,40.365
b9810c54,query,55,377.658
b94ebcb4,welcome,57,29.156
b8a9be6c,welcome,137,23.995
358c9a0c,welcome,53,40.855
b8e095e6,welcome,26,32.348
b8cc43ac,query,178,464.095
b9159ef1,query,277,366.682
384246ca,explore,22,116.737
34ee03b8,,75,
b78d617e,welcome,64,21.764
b8ca5cd7,index,8,52.839
37b718a2,welcome,50,33.974
398a653a,explore,96,142.459
b90dcc0e,explore,123,64.907
b9033768,explore,217,74.483
37b33c75,welcome,8,36.986
b892068e,welcome,118,27.055
b7112974,query,17,328.211
b8cac1a5,welcome,7,24.919
3935a21e,index,7,61.789
3950974b,explore,165,87.657
b883ec2a,query,17,406.941
b8aeaf23,query,17,267.939
37d0b1aa,explore,38,100.680
b81ef401,explore,141,92.044
37b77952,query,128,340.442
b804cee1,query,109,396.311
3886df93,query,17,393.039
b8a687ac,query,84,516.190
b90bbb27,welcome,18,36.235
38563a7f,explore,111,129.397
b9176de7,,214,
b912f9b2,explore,458,60.093
37b718a2,explore,76,146.469
38c25a91,query,68,393.641
b96586a1,query,36,326.655
35f8c3c6,query,106,328.402
b988c693,query,154,375.932
b85d4e3f,explore,72,161.575
381e19e6,query,31,373.331
b8d572b8,query,73,339.801
39069c3a,query,244,427.828
b88631a8,index,4,47.043
b6032e7d,query,43,380.608
38ec0790,query,27,551.147
b90d573c,welcome,106,34.752
b988c693,welcome,18,47.317
35c181e1,query,18,316.158
b8793ac8,,146,
37fb1a4f,explore,40,163.957
39210a9f,welcome,31,31.062
b8808ae4,query,99,382.683
37fc47bb,query,20,430.911
b90dcc0e,welcome,56,26.310
b89a2926,index,62,63.697
3887c4bf,explore,80,121.474
38e0d141,query,301,482.080
b956c43b,explore,22,80.079
38748001,query,288,383.950
38e1bb0f,explore,36,181.655
3846924d,query,156,369.491
b93becd3,query,247,373.066
b91f1cf5,,78,
b8fec97d,explore,170,95.810
b875edba,,56,
38f0d551,explore,62,123.602
b7481af2,welcome,96,35.706
b8986c50,explore,103,143.166
38e8f839,query,70,405.423
38ec0790,explore,22,105.290
3924915d,welcome,7,22.681
b8e12e6e,explore,209,95.746
37f13d8f,explore,22,111.322
38fa725b,query,43,406.585
b8e95904,explore,204,106.270
b78fbcf0,query,167,398.572
37c2ec4e,explore,81,125.253
36954c40,welcome,12,34.880
378f49a4,welcome,9,39.496
38b94579,query,17,370.719
36900b7e,query,128,385.002
b81ef401,explore,26,212.247
b8d7325b,index,15,39.211
37ac3bea,explore,88,139.372
b8c01be8,query,64,295.622
b88631a8,,10,
38965f23,query,62,419.024
394d0a93,explore,475,57.724
b7c0e8b3,query,212,422.723
b90b6149,index,22,26.124
b7d5ed7a,welcome,28,28.874
37fb1a4f,query,47,320.106
b818fcb7,query,23,496.111
381b8f82,explore,181,82.059
b905f723,query,88,465.896
38748001,welcome,26,38.517
b5b3a0cd,query,69,425.569
b8986c50,explore,346,90.471
38ac9e6f,query,55,380.282
393dfc60,explore,22,55.749
b917e5cd,explore,251,98.685
b8d572b8,query,74,416.926
38156a17,explore,22,193.903
381e19e6,query,34,314.970
b84abd42,explore,471,118.311
395ee12f,query,73,408.855
b8c01be8,query,223,331.401
386c9c39,welcome,37,33.225
b8fec97d,query,39,371.446
b82f3b00,welcome,9,24.908
37e48182,welcome,19,43.165
38c1a11e,query,177,442.340
38d5f87c,query,71,431.008
b8c6bc84,explore,54,67.933
b86d5dbd,query,26,449.173
38902478,welcome,75,38.222
38886257,query,176,380.135
37f13d8f,explore,22,114.372
b7ab0e84,query,44,409.046
382e7d35,explore,43,72.494
38a8053a,welcome,81,20.349
39210a9f,explore,81,69.016
b88d3fab,explore,28,104.415
b7f72be4,explore,136,140.597
38563a7f,query,20,448.855
b90d573c,explore,83,131.361
b98bba62,welcome,29,23.346
38902478,index,25,61.209
b8d33c36,query,119,369.131
b8688818,query,44,408.626
b8f78219,query,25,360.281
b90bbb27,explore,92,61.087
b894aeb7,explore,147,113.775
38011cf5,explore,22,174.697
38257669,query,17,392.651
b7f001d1,explore,22,133.613
b9159ef1,query,126,360.389
b8447d62,query,24,274.621
37ff412a,welcome,75,27.198
b8688818,index,4,65.273
b8658d44,query,249,388.199
b94ebcb4,,52,
b878fc6f,query,31,424.920
38841a01,query,52,369.718
b82434b6,welcome,9,12.738
b6101a3d,query,25,388.791
b8837647,,60,
b601d89f,query,92,410.423
b80cd3d8,query,17,484.772
b8aeaf23,,19,
b7096a1b,explore,22,80.472
37c4e20d,,18,
b80eb039,explore,22,120.462
38f0d551,explore,293,143.458
b8c4aed5,explore,46,146.347
393d4bde,welcome,7,43.098
b8b7f4ed,explore,235,74.346
b8f4d4c6,index,24,52.073
363a51ea,index,17,73.057
38e1bb0f,query,81,360.848
388a2967,explore,133,57.090
b8f4d4c6,explore,36,89.228
3715e55a,explore,22,173.766
b84d68fe,query,46,295.912
37c357dc,explore,66,94.493
b8419b59,query,25,419.988
3909104a,query,45,446.804
38a6eb8d,query,510,374.669
38011cf5,index,67,57.675
b85e23f1,query,79,295.675
38b8786a,index,13,65.103
384bd788,explore,28,98.210
b8bc1a7b,query,125,316.392
3884e874,,138,
38e8133d,,41,
38a906dd,welcome,113,24.156
b85d4e3f,query,39,406.596
3807084e,welcome,12,37.364
38e6b63d,query,226,269.529
b90998fb,welcome,39,20.631
b98bba62,query,34,292.024
b88d3fab,query,132,349.682
38e1271f,query,62,522.244
b726a7b0,query,91,341.685
38c79ea2,query,17,413.494
39044f87,explore,152,91.153
b8d33c36,,62,
3830dba8,explore,77,151.073
b8a9be6c,welcome,7,28.899
38aa93e0,explore,218,57.097
38bad002,index,8,45.791
38c373ed,explore,114,160.044
b804cee1,welcome,8,34.957
b9176de7,query,124,354.468
b5a1784c,explore,162,79.821
b8a12480,,21,
38973351,,75,
b9159ef1,index,36,72.335
b89a2926,query,74,437.596
b905f723,explore,106,141.184
3745cf59,index,8,60.373
b6032e7d,explore,100,181.718
b7e15902,explore,45,138.051
35f8c3c6,explore,22,121.267
38ac9e6f,query,158,442.878
b883ec2a,query,17,431.023
3846924d,welcome,7,33.330
b9441603,explore,42,141.460
37ad6b5d,explore,168,66.994
b8b92cf9,query,154,377.888
b894aeb7,query,17,404.847
b82f3b00,query,301,240.714
b943b405,query,146,393.649
3950974b,index,26,66.812
3924915d,,44,
3812d36d,query,17,414.462
38a654ac,welcome,10,31.626
b8fa8577,explore,142,110.883
b917e5cd,query,90,302.636
390b2f2f,index,20,45.296
b81d2775,welcome,60,23.920
b878fc6f,query,39,416.819
b905f723,index,12,37.894
b907939e,explore,285,83.660
b956c43b,explore,132,83.646
374c2ca8,query,43,275.307
390b2f2f,welcome,74,43.614
38f48a17,,15,
b8658d44,query,34,364.645
3745cf59,explore,30,42.711
38f26f07,query,104,397.207
38b8786a,query,62,331.274
b88d3fab,explore,35,77.983
38011cf5,query,146,401.600
b93cb6bd,welcome,16,34.849
b8cc43ac,query,43,365.971
b8bc1a7b,explore,104,86.587
35c181e1,welcome,79,37.448
39769f6a,explore,214,219.571
35af9b86,query,17,356.630
358c9a0c,explore,118,112.783
b878fc6f,welcome,14,29.758
b8122da4,query,26,381.649
37b77952,query,173,294.236
b897ffb8,query,327,299.190
b8be6444,query,170,477.058
37ad6b5d,,104,
b8a4310c,query,123,444.316
38a906dd,index,123,55.440
382e7d35,explore,22,192.632
b89a2926,query,17,372.522
384bd788,,27,
381e9490,query,68,401.535
b8cfe070,welcome,73,31.655
342ebe5e,welcome,13,37.660
b91ca70c,query,87,381.994
b9033768,welcome,106,36.277
36955bd2,index,4,42.322
37b9d3d1,query,39,402.106
38e1271f,welcome,108,25.212
37869704,,75,
b8a1cb67,welcome,97,33.020
37c1f52a,explore,45,170.278
b871bf8d,query,156,340.652
38965f23,query,171,388.327
b9342036,explore,37,87.816
38748001,query,390,350.833
3812d36d,query,34,409.271
38d230de,,183,
3925ba95,welcome,87,21.971
38aa93e0,query,193,453.190
b98ebec4,explore,55,46.538
b7112974,welcome,7,29.769
b8b92cf9,welcome,12,28.462
38dfa65c,welcome,16,29.067
34ee03b8,explore,227,128.938
b8fec97d,index,15,55.684
384ca519,query,52,405.949
38f26f07,explore,260,63.123
b89c9a7d,,96,
37b33c75,welcome,7,41.768
391aba67,query,97,348.365
b8a12480,index,4,56.296
b956c43b,welcome,22,31.025
b601d89f,explore,33,117.174
38156a17,query,203,407.462
342ebe5e,query,66,380.190
b80cd3d8,,23,
386384b2,query,94,309.257
b8a687ac,query,634,355.958
3924915d,welcome,14,30.065
36954c40,query,179,381.779
b89a2926,welcome,26,30.912
b8a7b3e1,explore,49,129.955
b7f001d1,query,84,362.454
3815097f,explore,43,103.810
b94ebcb4,query,355,511.274
b7b8836b,query,34,305.176
b84b1ec3,welcome,79,40.133
b84d68fe,welcome,14,30.073
35fec392,query,17,457.162
b88f1036,welcome,51,22.935
b7ab3227,index,22,67.187
b8bc1a7b,query,63,418.459
b8b7f4ed,query,160,447.094
b7681b4d,explore,157,97.231
b78d617e,welcome,25,36.239
b823c5dd,welcome,13,39.749
38c373ed,welcome,7,49.572
3812d36d,query,35,382.934
b7096a1b,explore,47,152.389
398ebab9,,10,
b7112974,index,32,38.470
391a5492,,182,
398a653a,,10,
384ca519,welcome,74,33.259
b86e62d2,query,100,449.958
37b718a2,query,162,376.975
b8cac1a5,explore,22,130.845
37e48182,query,360,455.089
b78fbcf0,welcome,75,22.593
b8c1fbac,index,11,57.268
b88631a8,,10,
36900b7e,index,4,64.496
b8e2116b,welcome,22,17.607
b9441603,explore,141,147.810
b82f3b00,,101,
b9342036,index,11,44.215
b7f001d1,query,43,368.846
b8b7f4ed,query,150,381.405
b871bf8d,welcome,39,20.147
39946190,welcome,37,41.148
389cc83d,explore,34,46.781
b8e809a5,query,37,277.804
38c373ed,welcome,24,29.762
38f26f07,explore,133,84.774
3745cf59,welcome,39,36.982
38a6eb8d,explore,22,42.338
3950974b,explore,119,121.013
b7c0e8b3,query,44,354.626
b7f001d1,query,21,338.722
b871bf8d,explore,36,112.042
b9159ef1,query,254,415.353
b8a7b3e1,index,20,41.131
38b94579,welcome,28,37.702
b867dc5a,query,286,331.641
b94586d6,explore,750,150.575
b79aa74c,welcome,20,21.410
3711ba7f,welcome,21,22.580
b8aeaf23,,71,
b601d89f,welcome,7,24.789
b8e95904,welcome,24,30.649
38505b86,query,74,469.928
38a8053a,welcome,47,29.071
37625f95,welcome,7,40.535
b92cf46d,query,18,446.026
382e7d35,index,5,60.675
388ec167,,134,
b92cf46d,index,5,67.557
b8a5da63,explore,46,155.232
b90b86fa,query,48,342.297
37b77952,explore,218,72.612
37874df2,index,4,54.484
38b75cdf,query,60,352.163
b8cf6262,query,94,437.577
37b33c75,query,17,334.807
b916f5ba,query,75,384.290
b8aa3018,index,12,69.192
b9441603,explore,221,130.382
3909104a,,62,
b90eaa9e,,10,
38edceae,explore,474,39.387
38748001,index,16,75.995
395ee12f,explore,268,97.093
b8b1e3af,welcome,8,21.361
3910d2e4,index,11,48.470
38ac9e6f,welcome,29,26.471
3874ae7f,welcome,19,25.445
b7f001d1,,17,
391a5492,welcome,7,25.831
36954c40,,10,
38a906dd,explore,256,115.744
b8e2116b,welcome,48,36.860
b9159ef1,,22,
b9691e6e,welcome,12,19.438
39083bce,explore,90,127.303
3924915d,explore,28,77.752
b94586d6,explore,22,118.343
b7c0defa,explore,22,156.213
b89767e9,explore,101,75.694
b88d3fab,index,30,8.532
b917e5cd,explore,53,85.218
b82434b6,welcome,13,25.420
38f48a17,,12,
b8a9be6c,explore,22,73.061
374c2ca8,query,17,410.403
38011cf5,query,33,420.758
b7b8836b,index,17,43.565
b89e1d64,welcome,164,34.772
381e9490,welcome,19,22.096
38257ba4,query,156,453.481
38e1bb0f,explore,22,78.775
b804cee1,,25,
b8fa8577,query,48,298.841
b891eb71,,15,
37c2ec4e,welcome,67,41.773
b94ebcb4,query,63,407.037
b8aa3018,query,58,425.130
39044f87,explore,36,129.140
b8e095e6,query,363,379.116
b8a4310c,,18,
391a72ed,query,18,284.413
38aa93e0,query,17,359.168
b926e20c,query,93,458.715
38916f1a,query,67,469.368
b911a261,query,90,546.533
b7ab0e84,explore,25,127.683
b7f27ed9,query,49,491.390
37c1f52a,explore,43,97.222
b90fff3f,query,64,234.782
38ec0790,index,11,58.307
38db6d7a,query,82,321.801
3745cf59,index,42,35.653
b8653385,explore,57,42.484
b89767e9,query,101,397.789
b8122da4,index,6,72.303
38f26f07,explore,59,150.217
b8837647,welcome,57,11.094
b7681b4d,explore,33,119.337
37ff412a,explore,53,110.457
3874ae7f,welcome,47,24.945
38932b0c,explore,55,169.055
386b32b6,welcome,25,31.175
3807084e,explore,22,83.467
b90fff3f,,46,
b726a7b0,welcome,31,36.923
38dfa65c,welcome,65,36.238
38ec0790,explore,22,77.874
b96586a1,,50,
b9033768,query,86,349.935
38e1271f,explore,31,129.180
358c9a0c,query,82,389.224
b8ca5cd7,query,17,358.222
b787821d,query,31,376.879
b90998fb,welcome,30,47.023
b7ab0e84,query,52,338.530
b93becd3,query,17,454.493
b7d8daa1,welcome,76,25.697
b959f35a,explore,48,124.877
38d3372b,explore,52,179.404
b779a771,index,44,52.010
b85e23f1,query,17,443.166
b82f3b00,query,43,287.007
b907939e,explore,115,113.929
38e8f839,query,17,398.780
b8d7325b,query,28,288.320
3828a5b7,query,78,449.899
38b75cdf,,10,
b897ffb8,,45,
38916f1a,,31,
388a2967,index,31,77.529
390dff6a,query,24,395.369
b98bba62,query,17,434.777
38b245f2,explore,144,88.455
37116eb3,query,90,380.927
3910d2e4,query,225,264.442
b7d5ed7a,query,17,457.521
b78d617e,explore,23,121.233
358c9a0c,query,26,410.407
b8a5da63,explore,46,29.060
b90d7af7,welcome,38,20.924
38f6f67d,welcome,10,30.238
38b75cdf,explore,228,93.894
38e60b8d,welcome,10,20.887
b79aa74c,explore,113,75.501
b90fff3f,,10,
b98bba62,explore,22,140.616
b7d66c06,,57,
38b947b1,welcome,7,29.465
b8a2a70e,index,17,49.891
38257669,explore,251,159.605
b8041265,query,149,322.092
37bea6f2,explore,174,154.288
b7c0defa,explore,92,49.152
b89a2926,explore,49,77.918
b85d47a6,welcome,27,24.281
37ff412a,welcome,7,32.441
b806dd03,query,39,390.616
38ac9e6f,explore,92,109.740
381e9490,index,48,13.237
b829157d,,10,
b90eaa9e,explore,22,143.215
b8cc43ac,query,212,339.038
36df5f4d,explore,314,116.004
b9176de7,explore,22,20.360
b9649b34,query,89,414.485
37b33c75,explore,29,148.507
b7e37343,explore,110,137.108
39769f6a,explore,22,152.386
382cdde5,welcome,49,33.463
37c2ec4e,index,5,48.483
394d0a93,welcome,37,17.497
3875bcff,query,48,464.013
b823c5dd,query,38,383.789
36900b7e,query,40,408.283
3887c4bf,query,56,425.138
b7b8836b,welcome,25,19.408
3872fffb,query,54,289.120
b82f3b00,welcome,61,28.966
38156a17,query,87,500.694
37d549f5,welcome,37,22.511
38932b0c,welcome,18,20.453
b8a5da63,,38,
398ebab9,,15,
37d8bdb5,welcome,10,35.916
390dff6a,explore,22,112.304
b8aa3018,explore,68,94.284
b8e809a5,welcome,7,22.641
b5a47725,index,6,50.503
b917e5cd,,15,
387598a7,query,41,472.527
b956c43b,query,41,324.997
b8041265,welcome,40,35.395
b87c1d9b,welcome,24,37.017
b905f723,explore,22,111.961
391aba67,query,125,354.831
38b75cdf,query,181,407.879
b8c01be8,query,162,424.021
38e0d141,query,100,462.360
38902478,index,4,26.907
b867dc5a,explore,30,74.184
b90b6149,,10,
38c25a91,explore,143,61.498
37fb1a4f,query,36,442.742
37e48182,query,98,405.283
b92ac6bf,query,69,264.534
386c9c39,query,68,198.685
b6101a3d,explore,24,103.277
38973351,welcome,7,38.586
b8f4d4c6,welcome,36,32.962
37874df2,welcome,92,34.463
37fc47bb,query,26,373.537
b88f1036,query,32,328.792
b8986c50,welcome,15,27.860
38362dc7,query,111,326.546
36955bd2,query,162,312.999
b726a7b0,welcome,57,33.087
b8c8a3e0,explore,64,78.450
384bd788,explore,105,80.834
38b245f2,query,78,273.760
388dafc8,welcome,37,29.884
398ebab9,welcome,33,36.154
3715e55a,explore,55,129.517
384246ca,index,20,46.201
391a5492,,10,
b98bba62,query,138,347.075
38b947b1,welcome,12,32.546
b8d7325b,welcome,7,31.050
34ee03b8,index,22,52.295
38cd9330,welcome,58,33.823
b8cfe070,welcome,43,39.805
359b733f,explore,61,179.253
b8f4d4c6,query,51,354.708
3871c9ff,,39,
b8a2a70e,query,124,375.678
b9001574,index,4,40.796
b8cf6262,index,55,67.941
b9342036,query,58,362.001
35fec392,explore,89,70.133
b90d7af7,,10,
38e1bb0f,query,172,399.256
38916f1a,welcome,34,39.572
b7112974,query,237,405.019
b7681b4d,query,245,435.802
38916f1a,query,109,413.609
b8041265,welcome,7,22.029
38c1a11e,query,47,397.965
3715e55a,explore,90,134.787
38abd294,query,122,275.451
